cbsa,metro_name,year,hpi,appreciation_rate,pop_growth_rate,unemployment_rate,poverty_rate,median_income,pct_bachelors_plus,vacancy_rate,homeownership_rate,mortgage_rate
10580,"Albany-Schenectady-Troy, NY",2012,170.39,1.4286564676468716,0.36352036425475465,7.984186353803693,11.048563525566424,60625.0,34.127609394239215,13.151732631867048,64.53626296669147,3.655
10580,"Albany-Schenectady-Troy, NY",2013,173.33,1.725453371676755,0.3726078893632412,7.46467420881112,12.47340369006827,59626.0,34.29469662403041,11.909626490254013,64.72228129975686,3.975
10580,"Albany-Schenectady-Troy, NY",2014,174.26,0.5365487797842183,0.25765885830471014,5.855096526077712,11.712583574587669,62265.0,35.41498589821377,12.573790589544329,63.9840940306544,4.1725
10580,"Albany-Schenectady-Troy, NY",2015,173.89,-0.21232640881442277,0.1889414167993042,5.166468981877362,10.233474298059203,63080.0,35.29860946975394,13.9978171143255,63.8808983388084,3.8475
10580,"Albany-Schenectady-Troy, NY",2016,183.95,5.785266547817591,0.0010206048784988653,4.873776468761931,9.928226573788017,65855.0,37.43475364633908,14.520601873192026,63.00306935339538,3.6550000000000002
10580,"Albany-Schenectady-Troy, NY",2017,188.83,2.652894808371853,0.49317392403829263,5.2080261528221286,10.418018384532022,68681.0,37.223164050023335,14.67108469437485,64.2759764767336,3.9875
10580,"Albany-Schenectady-Troy, NY",2018,194.44,2.970926229942261,-0.34067263379778945,4.83015991019925,9.695373336756235,71301.0,37.87138399008217,13.822219623663774,63.373154749453,4.5425
10580,"Albany-Schenectady-Troy, NY",2019,195.27,0.4268668998148595,-0.315681370156784,3.784120411864457,10.236743582266454,73398.0,39.49992759412358,12.081510297926831,64.16957699543727,3.935
10580,"Albany-Schenectady-Troy, NY",2021,250.22,12.696482457325576,1.0736828713931779,5.811869483977849,11.54459214424796,78272.0,40.60977094072216,9.875269534554032,65.57296871447531,2.9575
10580,"Albany-Schenectady-Troy, NY",2022,266.36,6.450323715130701,0.5928036242085488,4.710750427044727,11.053421220634032,80970.0,41.25779721086693,10.01158106389479,63.40060215597103,5.3425
10580,"Albany-Schenectady-Troy, NY",2023,300.77,12.918606397356957,0.007185361318651218,3.905164482577232,11.926601292259871,82410.0,41.25409738082206,8.932692760585937,63.93390054048462,6.805
10580,"Albany-Schenectady-Troy, NY",2024,318.12,5.768527446221383,0.9730490934936276,3.499432938604109,11.11934707591718,86637.0,44.380556696715786,6.533409667897717,63.99037025322016,6.7225
10740,"Albuquerque, NM",2012,193.79,2.123735244519387,0.40538331244321935,8.970884627955115,18.524266333910703,46725.0,29.89932402315145,8.525480688892365,66.81638535211921,3.655
10740,"Albuquerque, NM",2013,198.04,2.1930956189689876,-0.09548136119645889,8.073437041785732,19.44016879874704,48355.0,30.67996925564728,10.553503573990913,65.76731805569584,3.975
10740,"Albuquerque, NM",2014,204.62,3.32256109876794,0.3637746526345742,8.83029101155789,19.232124499550867,47581.0,30.464749837024712,9.96254484761667,65.5640603470422,4.1725
10740,"Albuquerque, NM",2015,208.57,1.930407584791305,0.11002935220771892,6.836971370838076,18.706703142090863,48937.0,30.154876749562355,10.21286409929814,66.52879535304591,3.8475
10740,"Albuquerque, NM",2016,219.11,5.05345927026899,0.8513488610243369,6.083848821905892,16.855299367629918,50954.0,31.83829670136278,10.187922407579572,68.14185024075925,3.6550000000000002
10740,"Albuquerque, NM",2017,228.03,4.071014558897357,-0.08873823206305698,5.231733677220389,15.549334904399096,50906.0,32.14115806446463,10.740936796554596,67.22017981500301,3.9875
10740,"Albuquerque, NM",2018,233.39,2.3505679077314268,0.40279790124551074,5.941805462949867,16.248956647456435,51134.0,32.81393737899389,8.334441353352698,64.47964116454156,4.5425
10740,"Albuquerque, NM",2019,249.53,6.91546338746305,-0.25207490038623437,5.219986705651836,15.50248908427637,58512.0,33.22708235656905,9.849519811740764,67.73498062699127,3.935
10740,"Albuquerque, NM",2021,328.76,17.05476037883642,0.3734909456740487,6.666607767217597,15.092894733950802,60070.0,35.07774585896021,5.516765558161998,68.19934359366536,2.9575
10740,"Albuquerque, NM",2022,365.18,11.077990023117179,0.28372612505440653,3.961948233387013,14.070222377069207,66392.0,35.961264807525275,5.720085268351827,71.22046216970467,5.3425
10740,"Albuquerque, NM",2023,385.69,5.616408346568802,-0.04405119463160023,4.4826094961613725,14.413453155756356,67640.0,35.67908794251082,5.962456597222222,68.24475645510665,6.805
10740,"Albuquerque, NM",2024,396.3,2.750913946433675,0.6931104753778561,5.053937100618213,13.546258393439905,76097.0,35.90908265872872,7.240542924343394,69.9133930434461,6.7225
10900,"Allentown-Bethlehem-Easton, PA-NJ",2012,153.72,0.6679764243614938,0.2733611664702762,8.79577713911811,10.455728422251,55766.0,26.31852922659182,8.498808809566803,69.69567722242203,3.655
10900,"Allentown-Bethlehem-Easton, PA-NJ",2013,159.81,3.9617486338797914,-0.014869960383046,8.877567674695143,12.393444497900902,56543.0,27.618708905423567,8.654101329538264,69.4613473977256,3.975
10900,"Allentown-Bethlehem-Easton, PA-NJ",2014,160.3,0.30661410424879243,0.3369816503999701,7.833243309152155,11.197675904886829,60320.0,26.395609799479995,8.3691429800018,69.86485972299731,4.1725
10900,"Allentown-Bethlehem-Easton, PA-NJ",2015,162.25,1.216469120399255,0.300300662179831,5.908786250452016,9.859278629797403,60671.0,28.1873007070567,8.766375767195461,69.02550915122943,3.8475
10900,"Allentown-Bethlehem-Easton, PA-NJ",2016,168.15,3.6363636363636376,0.3994824149643028,5.60892589569326,11.631002543977816,63022.0,28.473800578258118,8.162893361953747,68.0429160484727,3.6550000000000002
10900,"Allentown-Bethlehem-Easton, PA-NJ",2017,179.36,6.666666666666665,0.5861291542412328,5.582160757125363,11.218845888813956,63944.0,28.901091381846797,8.212256476098698,68.9787843858064,3.9875
10900,"Allentown-Bethlehem-Easton, PA-NJ",2018,185.03,3.1612399643175637,0.281125453572062,5.47017535837582,10.790951274118353,65929.0,29.467482607926154,8.568828486497898,69.21257655982352,4.5425
10900,"Allentown-Bethlehem-Easton, PA-NJ",2019,192.99,4.302005080257265,0.13512663821770854,4.7128296722624805,9.318707318384686,70793.0,29.6836301077302,8.314795323300999,67.2725185463278,3.935
10900,"Allentown-Bethlehem-Easton, PA-NJ",2021,257.16,17.62338196953759,1.2592826034414917,6.512318764622051,11.277673034280769,72058.0,32.21958301214385,6.255332986833951,69.10724821588991,2.9575
10900,"Allentown-Bethlehem-Easton, PA-NJ",2022,278.95,8.473324000622174,0.6840323121193537,4.727005118992219,10.417252053675364,76041.0,32.6948324262108,6.624394851160312,69.08734923723952,5.3425
